TSNE1,TSNE2
-61.819256,46.481125
53.337536,-36.618225
6.2475257,28.352001
22.652327,13.798481
-20.654667,43.435726
6.8626194,-78.05017
15.135985,1.3480622
-77.87624,28.845726
48.26329,37.80312
-84.241936,25.622953
26.818838,15.235937
19.665838,8.540294
-46.85847,-59.97602
-41.714535,-26.674505
-36.49917,-42.824223
15.507026,55.939926
-37.601635,-39.711067
24.210512,15.385042
-30.546608,55.907284
2.836046,58.485844
7.3173203,-3.2854214
-51.470924,24.615591
39.539333,-33.912083
-10.478464,54.3381
-29.662899,38.754257
15.405826,2.3079402
38.679733,-68.35269
45.153225,70.64433
-17.851091,1.4328481
-9.165485,44.20982
-6.183697,-48.29987
-21.757896,-35.17943
-61.436077,-35.61196
-31.243137,53.648502
41.250576,-48.654842
-11.080864,-36.583202
-41.097,10.18101
64.25772,31.067516
26.122362,16.218765
3.662692,-83.11859
-45.672195,6.634725
19.349741,-64.767426
-34.12106,-48.765106
24.221945,25.882982
-7.146801,-4.77601
-62.210545,-32.184315
10.010631,33.737896
5.4692273,25.210297
-0.9798724,-78.65498
-25.709679,-29.888588
-12.75355,-42.760864
38.35761,14.192308
-34.07167,-9.572225
12.827625,24.885426
-2.5439386,60.78171
-25.170185,49.151
-11.732998,1.7118173
-42.456684,8.40954
-51.6046,14.663954
-24.384197,25.777111
-5.026428,-50.320824
58.560745,36.27453
51.386616,26.146893
6.912893,-106.48073
-1.9608423,-51.416737
41.745075,65.99058
-22.714777,-59.919525
30.592743,-32.830215
-45.1011,3.9821837
41.50295,29.473078
59.30222,5.840396
-50.20045,9.286122
15.694504,-66.85277
23.225203,-55.459213
-0.8700704,-43.376835
15.480246,-52.327534
4.655104,-108.77133
-14.403365,-66.23831
-21.88802,4.306003
-18.016256,1.376682
-44.376877,37.47278
22.454863,47.571423
-22.343735,43.99904
-39.617115,49.50412
-22.964577,5.9966383
-6.769471,11.188005
-43.652725,-11.821223
2.0110164,79.63123
-11.198933,32.173523
19.28557,-37.424133
66.85682,18.840004
10.857079,-26.12549
28.885487,0.8514293
-7.4933515,-66.24803
1.9900488,53.77398
8.014814,1.2518122
21.892414,4.027271
-5.263006,-35.644676
16.43572,-59.88908
-23.292574,50.361317
40.744007,68.105095
20.59326,27.440472
-31.220684,-33.82993
6.6433105,-23.769669
9.781508,11.221365
12.454547,39.19535
-8.03511,49.47591
13.852049,45.77332
-37.42323,-41.722317
-28.15133,36.708656
19.436699,-49.013153
-55.606815,20.900852
-54.81128,-36.209484
57.828827,40.437096
15.583453,12.984198
12.275814,-67.80054
45.37786,39.7494
7.6477995,-105.90184
-7.8327103,0.49360242
39.612015,-49.5487
-7.0942636,-21.123205
-62.579975,29.684168
-17.369278,-68.33498
36.146355,-23.368414
54.43425,-47.63726
-9.719684,0.19950043
-49.270298,-30.230484
-45.487892,-40.021137
-32.00801,18.142054
67.79532,23.214273
-34.275555,20.615631
-28.46081,47.386707
-7.885994,-45.76884
-43.949875,11.271062
-41.8987,5.516054
-4.9520335,5.975114
66.7612,27.92362
-55.290657,17.89049
-42.26598,-5.6298995
4.7746286,-108.34161
42.923153,-15.252817
6.793321,25.032602
46.471466,20.127895
24.911798,-70.15057
-24.73814,26.79557
24.231033,-3.3232992
41.211807,-61.622154
44.02411,60.937145
44.84025,71.15592
13.211601,19.887877
-12.02019,2.3535862
0.9774657,-78.77166
18.012732,6.2565584
3.9918253,-36.285656
-51.424885,33.28714
30.484385,-48.289806
-1.5956209,-36.349
13.004308,-55.61667
-14.907799,38.70334
50.60481,-44.1487
-35.182194,26.079834
-33.718773,-5.7978888
-5.8374057,-55.133514
55.09608,-50.657944
-44.111416,17.904009
48.31862,25.471323
-23.655573,-35.2816
6.1422334,22.041695
-5.632416,20.232166
-16.840216,55.667427
20.964785,0.23598509
-4.8451595,84.4461
-2.6368546,86.42858
21.052298,-54.003433
53.9335,25.593426
-48.49715,-28.688396
58.563656,35.01405
-14.054668,-47.522648
-18.406979,71.168564
18.352932,54.24387
18.045588,-3.8764114
-0.43437654,53.392227
-7.4797096,24.286282
-26.070652,-22.198769
42.014072,42.634094
4.712154,41.011044
-8.109828,32.753235
-73.97763,29.449821
-10.543517,-52.927963
29.668465,3.4687848
-1.9700869,44.444923
-1.5629903,-29.457508
-14.589144,45.424023
34.08382,-24.896235
22.905901,-56.003803
4.7408724,29.860285
-2.8254797,58.56603
-0.3548106,38.958614
-13.045698,-52.38623
-30.651592,-29.045244
-40.968105,22.6225
43.023357,-5.263427
-40.48436,17.589
11.012688,7.0503006
-4.5718627,22.387243
-0.4822536,59.05306
-45.367405,-61.17968
-27.811749,-38.64826
43.47584,32.722664
-5.820574,-24.927061
12.944843,6.5318704
41.724228,-51.958603
-26.193048,-14.208982
-2.737487,-71.78204
-50.783955,23.598598
0.9100796,63.603462
49.694244,7.6874285
67.95601,4.211629
-30.870392,-27.182716
28.13324,-64.65427
-28.41033,11.171267
-55.322945,-57.799908
27.455065,-54.211727
10.113078,-52.350773
3.1456354,8.903577
-31.81551,-58.69478
-17.416971,60.341
-31.573202,-50.792126
44.52517,26.539783
-20.247696,60.9829
9.925906,-18.266636
-29.664305,3.1828983
-3.1552582,-14.444556
-79.26447,28.180014
-22.574827,-11.97101
-26.203382,32.179504
8.760719,10.719518
46.61251,-58.73271
0.90116423,-54.742542
-0.025289068,-44.368988
47.834118,26.947845
44.916073,73.27086
-3.1256757,-73.55565
-31.16205,-62.404217
-4.5176625,26.126728
53.621754,28.460398
36.211647,-55.873985
-50.693714,-56.240307
73.480385,19.799875
-65.035416,-38.79312
7.9032555,37.82579
30.203344,-33.164803
